Feature,order,,genus,scolex,apical_organ,tentacles,hooks,scolex_attachment_structures,proglottid_margins,laciniations,pore_position,single_column_of_testes,post_poral_testes,anterior_extent_of_uterus,vitelline_follicle_arrangement,apolysis,wide_anterior_strobia,host_group,host_family,bothridial_features [bothridial taxa],apical_sucker_region [bothridial taxa],hook_placement [if hooks],peduncle_hooks [if bothrial hooks],hook_features [if bothridial hooks]
Values,,,,TRUE/FALSE,TRUE/FALSE,TRUE/FALSE,TRUE/FALSE,bothria/bothridia/suckers/other,craspedote/acraspedote,TRUE/FALSE,lateral_sublateral/dorsal_ventral,TRUE/FALSE,TRUE/FALSE,to_pore/beyond,circumsegmental/lateral/other,hyperapolytic/euapolytic/apolytic,TRUE/FALSE,batoids/sharks/ratfishes,,facial_loculi/marginal_loculi/other/pouch/bifid/folding/unmodified,sucker/region/none,tentacle_hooks/bothridial_hooks/bothrial_hooks,,
Array,,,,no,yes,yes,no,no,yes,yes,no,yes,yes,yes,yes,yes,no,yes,yes,yes,yes,yes,yes,accessory_piece/1_hook_pair/2_hook_pairs/1_prong_per_hook/2_prongs_per_hook/3_prongs_per_hook/prongs_directed_anteriorly
#5c1a1b,Anthobothriidea,x,Anthobothrium,TRUE,FALSE,FALSE,FALSE,bothridia,craspedote,TRUE,lateral_sublateral,FALSE,TRUE,to_pore,lateral,euapolytic,FALSE,batoids/sharks,Gymnuridae/Carcharhinidae,other,none,,,
#ef233c,Balanobothriidea,x,Balanobothrium,TRUE,FALSE,FALSE,TRUE,bothridia,acraspedote,FALSE,lateral_sublateral,FALSE,TRUE,to_pore,lateral,euapolytic/apolytic,FALSE,sharks,Stegostomatidae,unmodified,region,bothridial_hooks,,1_hook_pair/2_prongs_per_hook
#ef233c,Balanobothriidea,x,Pachybothrium,TRUE,FALSE,FALSE,TRUE,bothridia,acraspedote,FALSE,lateral_sublateral,FALSE,FALSE,to_pore,lateral,euapolytic,FALSE,sharks,Ginglymostomatidae,unmodified,region,bothridial_hooks,,1_hook_pair/1_prong_per_hook
#ef233c,Balanobothriidea,x,Pedibothrium,TRUE,FALSE,FALSE,TRUE,bothridia,acraspedote,FALSE,lateral_sublateral,FALSE,FALSE,to_pore,lateral,euapolytic,FALSE,sharks,Ginglymostomatidae/Stegostomatidae/Hemiscylliidae,unmodified,region,bothridial_hooks,,1_hook_pair/2_prongs_per_hook
#ef233c,Balanobothriidea,x,Spiniloculus,TRUE,FALSE,FALSE,TRUE,bothridia,acraspedote,FALSE,lateral_sublateral,FALSE,FALSE/TRUE,to_pore,lateral,euapolytic,FALSE,sharks,Ginglymostomatidae/Hemiscylliidae,unmodified,region,bothridial_hooks,,1_hook_pair/1_prong_per_hook/prongs_directed_anteriorly
#ef233c,Balanobothriidea,x,Yorkeria,TRUE,FALSE,FALSE,TRUE,bothridia,acraspedote,FALSE,lateral_sublateral,FALSE,FALSE,to_pore,lateral,hyperapolytic/euapolytic,FALSE,sharks,Ginglymostomatidae/Hemiscylliidae,unmodified,region,bothridial_hooks,,1_hook_pair/1_prong_per_hook/prongs_directed_anteriorly
#a4243b,Calliobothriidea,x,Biloculuncus,TRUE,FALSE,FALSE,TRUE,bothridia,acraspedote,FALSE,lateral_sublateral,FALSE,TRUE,to_pore,lateral,euapolytic,FALSE,sharks,Triakidae,facial_loculi,region/sucker,bothridial_hooks,,1_hook_pair/2_prongs_per_hook
#a4243b,Calliobothriidea,x,Calliobothrium,TRUE,FALSE,FALSE,TRUE,bothridia,craspedote,TRUE,lateral_sublateral,FALSE,TRUE,beyond,lateral,euapolytic/apolytic,FALSE,sharks,Triakidae,facial_loculi,region/sucker,bothridial_hooks,,2_hook_pairs/1_prong_per_hook
#a4243b,Calliobothriidea,x,Erudituncus,TRUE,FALSE,FALSE,TRUE,bothridia,craspedote/acraspedote,TRUE/FALSE,lateral_sublateral,FALSE,TRUE,beyond,lateral,euapolytic/apolytic,FALSE,sharks,Triakidae,facial_loculi,region/sucker,bothridial_hooks,,accessory_piece/2_hook_pairs/1_prong_per_hook
#a4243b,Calliobothriidea,x,Megalonchos,TRUE,FALSE,FALSE,TRUE,bothridia,acraspedote,FALSE,lateral_sublateral,FALSE,FALSE,to_pore,lateral,hyperapolytic,FALSE,sharks,Triakidae,facial_loculi,region/sucker,bothridial_hooks,,1_hook_pair/2_prongs_per_hook
#a4243b,Calliobothriidea,x,Symcallio,TRUE,FALSE,FALSE,TRUE,bothridia,craspedote/acraspedote,FALSE,lateral_sublateral,FALSE,TRUE,beyond,lateral,euapolytic/apolytic,FALSE,sharks,Triakidae,facial_loculi,region/sucker,bothridial_hooks,,2_hook_pairs/1_prong_per_hook
#d8973c,Cathetocephalidea,x,Cathetocephalus,TRUE,FALSE,FALSE,FALSE,other,acraspedote,FALSE,lateral_sublateral,FALSE,TRUE,beyond,circumsegmental,euapolytic/apolytic,FALSE,sharks,Carcharhinidae,,,,,
#d8973c,Cathetocephalidea,x,Disculiceps,TRUE,FALSE,FALSE,FALSE,other,acraspedote,FALSE,lateral_sublateral,FALSE,TRUE,beyond,circumsegmental,apolytic,FALSE,sharks,Carcharhinidae,,,,,
#d8973c,Cathetocephalidea,x,Sanguilevator,TRUE,FALSE,FALSE,FALSE,other,acraspedote,FALSE,lateral_sublateral,FALSE,TRUE,beyond,circumsegmental,euapolytic,FALSE,sharks,Carcharhinidae,,,,,
